id,question,answer,why
1,"그래디언트 부스팅(Gradient Boosting) 모델은 과적합을 방지하기 위해 최대 깊이까지 완전히 성장시킨 결정 트리를 주로 사용한다","X","그래디언트 부스팅은 주로 얕은 트리(약한 학습기)를 순차적으로 학습시켜 이전 트리의 오차를 보완하는 방식입니다. 반면, 트리를 깊게 성장시켜 앙상블하는 방식은 랜덤 포레스트의 특징이며 부스팅에서 트리가 너무 깊어지면 과적합이 발생하기 쉽습니다."
2,"배치 정규화(Batch Normalization)는 신경망의 각 층마다 활성화 함수의 출력값을 정규화하여 내부 공변량 변화(Internal Covariate Shift)를 줄이는 기법이다","O","배치 정규화는 각 미니배치 단위로 데이터의 분포를 평균 0, 분산 1로 정규화하여 학습 과정을 안정화시킵니다. 이를 통해 기울기 소실 및 폭발 문제를 완화하고, 전반적인 학습 속도를 크게 향상시킬 수 있습니다."
3,"Adam 옵티마이저는 모멘텀(Momentum)과 RMSProp의 장점을 결합한 알고리즘으로, 모든 파라미터에 대해 동일한 학습률(Learning Rate)을 유지하여 학습한다","X","Adam 옵티마이저의 가장 큰 특징은 '적응형 학습률(Adaptive Learning Rate)'입니다. 즉, 기울기의 크기에 따라 각 파라미터(가중치)마다 학습률을 개별적으로 계산하여 다르게 적용합니다."
4,"클래스 불균형(Class Imbalance)이 심한 데이터셋을 평가할 때, 모델의 성능을 정확히 측정하기 위해서는 정확도(Accuracy)보다 F1 스코어(F1 Score)를 사용하는 것이 더 적절하다","O","불균형 데이터에서는 모델이 다수 클래스로만 예측해도 정확도가 매우 높게 나오는 '정확도의 역설'이 발생합니다. F1 스코어는 정밀도(Precision)와 재현율(Recall)의 조화평균으로 이를 보완하여 더 객관적인 성능 지표를 제공합니다."
5,"트랜스포머(Transformer) 모델의 셀프 어텐션(Self-Attention) 메커니즘은 구조적으로 문장 내 단어의 순서(Sequence) 정보를 보존하여 연산한다","X","셀프 어텐션 메커니즘 자체는 단어들 간의 의미적 관계성과 가중치만 계산할 뿐, 단어의 위치나 순서 정보를 알지 못합니다. 트랜스포머는 이 문제를 해결하기 위해 입력 단계에서 포지셔널 인코딩(Positional Encoding)을 추가로 사용합니다."
6,"L1 정규화(Lasso Regression)는 비용 함수에 가중치의 절댓값 합을 추가하여 덜 중요한 특성(Feature)의 가중치를 정확히 0으로 만들 수 있다","O","L1 정규화는 모델의 가중치를 0으로 수렴하게 만드는 희소성(Sparsity) 특징이 있어, 결과적으로 불필요한 변수를 제거하는 변수 선택(Feature Selection)의 효과를 제공합니다. 반면 L2 정규화(Ridge)는 가중치를 0에 가깝게만 만듭니다."
7,"합성곱 신경망(CNN)에서 풀링 계층(Pooling Layer)을 거치면 일반적으로 특성 맵의 채널(Channel) 수는 감소하고, 공간적 해상도(Spatial dimension)는 유지된다","X","풀링 계층(예: Max Pooling)의 주된 목적은 이미지의 가로/세로 차원(해상도)을 줄여 연산량을 감소시키고 공간적 불변성을 얻는 것입니다. 반면, 특성 맵의 채널(두께) 수는 풀링을 거쳐도 그대로 유지됩니다."
8,"순환 신경망(RNN) 계열인 LSTM은 입력 게이트, 망각 게이트, 출력 게이트를 활용하여 장기 의존성(Long-Term Dependency) 문제를 해결하도록 설계되었다","O","기존 RNN은 시퀀스가 길어질수록 과거의 정보가 점차 희미해지는 기울기 소실(Vanishing Gradient) 문제가 있었습니다. LSTM은 셀 상태(Cell State)와 세 가지 게이트 메커니즘을 통해 어떤 정보를 잊고 어떤 정보를 남길지 결정하여 이 문제를 효과적으로 해결합니다."
9,"서포트 벡터 머신(SVM)은 데이터의 분류 오차를 최소화하기 위해 결정 경계(Decision Boundary)와 서포트 벡터 간의 마진(Margin)을 최소화하는 방향으로 최적화한다","X","SVM의 핵심 목표는 마진을 '최대화(Maximize)'하는 것입니다. 결정 경계와 가장 가까운 데이터 포인트(서포트 벡터) 사이의 거리인 마진이 넓을수록 새로운 데이터에 대한 일반화(Generalization) 성능이 뛰어나기 때문입니다."
10,"GAN(Generative Adversarial Networks)의 학습이 이상적인 균형 상태에 도달하면, 판별자(Discriminator)가 입력 데이터가 진짜인지 가짜인지 예측할 확률은 0.5(50%)가 된다","O","GAN은 생성자와 판별자가 서로 적대적으로 학습하는 구조입니다. 학습이 완벽히 이루어진 내쉬 균형(Nash Equilibrium) 상태에서는, 생성자가 만든 가짜 데이터가 진짜와 완벽하게 동일해져 판별자는 이를 전혀 구별하지 못하고 찍는 수준(50%)에 머물게 됩니다."
