user_id,date,score,total,fail_quiz,difficulty
abcd,2026-04-25 16:22:42,5,10,"1,4,5,8,10",basic
abcd,2026-04-25 16:23:03,5,10,"2,3,6,7,9",basic
abcd,2026-04-25 16:28:11,5,10,"1,4,5,8,10",basic
abcd,2026-04-25 16:28:26,6,10,"3,5,7,9",hard
abcd,2026-04-25 16:44:04,10,10,None,hard
abcd,2026-04-25 16:45:02,5,10,"2,3,5,8,9",hard
abcd,2026-04-25 16:53:41,7,10,"8,9,10",hard
abcd,2026-04-25 16:55:28,5,10,"3,4,7,8,10",basic
abcd,2026-04-25 17:34:19,4,10,"4,5,6,7,9,10",basic
abcd,2026-04-25 18:38:47,8,10,"1,9",basic
abcd,2026-05-10 08:08:31,5,10,"1,4,5,8,10",basic
