id,question,answer,why
1,"선형 회귀는 분류(Classification) 모델이다","X","선형 회귀(Linear Regression)는 연속적인 값을 예측하는 '회귀' 모델입니다. 데이터가 어떤 클래스에 속하는지 '분류'하려면 로지스틱 회귀(Logistic Regression) 등을 사용해야 합니다."
2,"랜덤 포레스트는 여러 개의 결정 트리를 사용하는 앙상블 모델이다","O","랜덤 포레스트는 배깅(Bagging) 기법을 사용하여 여러 개의 결정 트리(Decision Tree)를 개별적으로 학습시킨 뒤, 그 결과들을 다수결로 투표하여 최종 예측을 하는 대표적인 앙상블 모델입니다."
3,"Overfitting을 방지하기 위해 드롭아웃(Dropout) 기법을 사용할 수 있다","O","드롭아웃은 딥러닝 신경망에서 학습 시 특정 노드(뉴런)들을 무작위로 끄고(비활성화) 학습하게 만들어, 모델이 훈련 데이터에 과적합(Overfitting)되는 것을 방지하는 강력한 정규화 기법입니다."
4,"머신러닝에서 파라미터와 하이퍼파라미터는 같은 개념이다","X","파라미터는 모델이 데이터 학습을 통해 스스로 찾아내는 값(예: 가중치)입니다. 반면 하이퍼파라미터는 학습 속도나 트리 깊이처럼 사용자가 학습 전에 직접 설정해 주어야 하는 값입니다."
5,"K-Means 알고리즘은 지도학습(Supervised Learning)에 속한다","X","K-Means는 정답(Label)이 주어지지 않은 데이터들을 비슷한 특징을 가진 그룹으로 묶어내는 '군집화(Clustering)' 알고리즘이므로 비지도학습(Unsupervised Learning)에 속합니다."
6,"CNN(합성곱 신경망)은 주로 이미지 데이터 처리에 탁월한 성능을 보인다","O","CNN은 필터를 이용해 이미지의 공간적, 지역적 특징을 효과적으로 추출하기 때문에 컴퓨터 비전(Computer Vision) 분야에서 핵심적인 모델로 사용됩니다."
7,"교차 검증(Cross Validation)은 모델의 일반화 성능을 평가하기 위해 사용된다","O","데이터를 여러 개의 폴드(Fold)로 나누어 학습과 평가를 반복함으로써, 특정 테스트 데이터에만 우연히 성능이 높게 나오는 것을 막고 모델의 객관적인 성능을 평가합니다."
8,"경사 하강법(Gradient Descent)은 손실 함수(Loss Function)의 값을 최대화하는 방향으로 가중치를 업데이트한다","X","경사 하강법은 모델의 예측값과 실제 정답의 차이인 손실 함수의 값을 '최소화'하기 위해 기울기의 반대 방향으로 가중치를 점진적으로 업데이트하는 최적화 알고리즘입니다."
9,"SVM(Support Vector Machine)은 분류 클래스 간의 마진(Margin)을 최대화하는 결정 경계를 찾는다","O","SVM은 서로 다른 클래스의 데이터 포인트들과 결정 경계 사이의 거리(마진)를 가장 넓게 확보하는 선을 그어, 새로운 데이터가 들어왔을 때의 오답 확률을 줄이는 강력한 분류 알고리즘입니다."
10,"데이터 클래스 비율이 심하게 불균형할 때, 정확도(Accuracy)는 모델 성능을 평가하는 가장 좋은 지표이다","X","정상 99개와 불량 1개가 있는 데이터에서 무조건 '정상'이라고 찍어도 정확도는 99%가 됩니다. 이런 불균형 데이터에서는 정밀도(Precision), 재현율(Recall), F1-Score를 지표로 사용해야 합니다."
